"Date","Province","HA","HSDA","Cases_Reported","Cases_Reported_Smoothed"
2021-02-09,"BC","Northern","Northeast",10,9.43
2021-02-09,"BC","Northern","Northern Interior",15,16.14
2021-02-09,"BC","Northern","Northwest",27,23.86
2021-02-09,"BC","Northern","Unknown HSDA - Northern HA",0,0
2021-02-09,"BC","Vancouver Coastal","All",103,94.14
2021-02-09,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",34,33.71
2021-02-09,"BC","Vancouver Coastal","Richmond",1,4.86
2021-02-09,"BC","Vancouver Coastal","Unknown",0,0.14
2021-02-09,"BC","Vancouver Coastal","Vancouver",68,55.43
2021-02-09,"BC","Vancouver Island","All",25,27.43
2021-02-09,"BC","Vancouver Island","Central Vancouver Island",18,18.43
2021-02-09,"BC","Vancouver Island","North Vancouver Island",1,1.29
2021-02-09,"BC","Vancouver Island","South Vancouver Island",6,7.71
2021-02-09,"Out of Canada","Out of Canada","Out of Canada",1,0.71
2021-02-10,"BC","All","All",447,437.29
2021-02-10,"BC","Fraser","All",238,218.57
2021-02-10,"BC","Fraser","Fraser East",42,47.57
2021-02-10,"BC","Fraser","Fraser North",82,59.71
2021-02-10,"BC","Fraser","Fraser South",114,111.14
2021-02-10,"BC","Fraser","Unknown",0,0.14
2021-02-10,"BC","Interior","All",52,51.86
2021-02-10,"BC","Interior","East Kootenay",0,0.57
2021-02-10,"BC","Interior","Kootenay Boundary",0,0.14
2021-02-10,"BC","Interior","Okanagan",14,13.14
2021-02-10,"BC","Interior","Thompson Cariboo Shuswap",38,38
2021-02-10,"BC","Northern","All",41,46.71
2021-02-10,"BC","Northern","Northeast",7,9.57
2021-02-10,"BC","Northern","Northern Interior",10,15
2021-02-10,"BC","Northern","Northwest",24,22.14
2021-02-10,"BC","Northern","Unknown HSDA - Northern HA",0,0
2021-02-10,"BC","Vancouver Coastal","All",100,94.57
2021-02-10,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",46,34.71
2021-02-10,"BC","Vancouver Coastal","Richmond",3,4.71
2021-02-10,"BC","Vancouver Coastal","Unknown",0,0.14
2021-02-10,"BC","Vancouver Coastal","Vancouver",51,55
2021-02-10,"BC","Vancouver Island","All",16,25.57
2021-02-10,"BC","Vancouver Island","Central Vancouver Island",12,17.43
2021-02-10,"BC","Vancouver Island","North Vancouver Island",0,0.86
2021-02-10,"BC","Vancouver Island","South Vancouver Island",4,7.29
2021-02-10,"Out of Canada","Out of Canada","Out of Canada",1,0.86
2021-02-11,"BC","All","All",433,431.29
2021-02-11,"BC","Fraser","All",224,221
2021-02-11,"BC","Fraser","Fraser East",38,45.71
2021-02-11,"BC","Fraser","Fraser North",88,64.86
2021-02-11,"BC","Fraser","Fraser South",98,110.29
2021-02-11,"BC","Fraser","Unknown",0,0.14
2021-02-11,"BC","Interior","All",40,49.14
2021-02-11,"BC","Interior","East Kootenay",0,0.43
2021-02-11,"BC","Interior","Kootenay Boundary",0,0
2021-02-11,"BC","Interior","Okanagan",13,11.86
2021-02-11,"BC","Interior","Thompson Cariboo Shuswap",27,36.86
2021-02-11,"BC","Northern","All",23,40
2021-02-11,"BC","Northern","Northeast",2,7.71
2021-02-11,"BC","Northern","Northern Interior",7,12.57
2021-02-11,"BC","Northern","Northwest",14,19.71
